,weekly_diff,weekly_diff_percent,monthly_diff,monthly_diff_percent,value,timestp,diff
0,-274959,-0.7759,377375,1.0849,41400238,2020-01-01T00:00:00.000Z,
1,-274959,-0.7759,377375,1.0849,41445506,2020-01-02T00:00:00.000Z,45268.0
2,-274959,-0.7759,377375,1.0849,41251009,2020-01-03T00:00:00.000Z,-194497.0
3,-274959,-0.7759,377375,1.0849,41075142,2020-01-04T00:00:00.000Z,-175867.0
4,-274959,-0.7759,377375,1.0849,40861860,2020-01-05T00:00:00.000Z,-213282.0
5,-274959,-0.7759,377375,1.0849,40644871,2020-01-06T00:00:00.000Z,-216989.0
6,-274959,-0.7759,377375,1.0849,40418391,2020-01-07T00:00:00.000Z,-226480.0
7,-274959,-0.7759,377375,1.0849,40319067,2020-01-08T00:00:00.000Z,-99324.0
8,-274959,-0.7759,377375,1.0849,40105049,2020-01-10T00:00:00.000Z,-214018.0
9,-274959,-0.7759,377375,1.0849,39806962,2020-01-12T00:00:00.000Z,-298087.0
10,-274959,-0.7759,377375,1.0849,39404473,2020-01-14T00:00:00.000Z,-402489.0
11,-274959,-0.7759,377375,1.0849,39263089,2020-01-15T00:00:00.000Z,-141384.0
12,-274959,-0.7759,377375,1.0849,39106549,2020-01-16T00:00:00.000Z,-156540.0
13,-274959,-0.7759,377375,1.0849,38941065,2020-01-17T00:00:00.000Z,-165484.0
14,-274959,-0.7759,377375,1.0849,38455932,2020-01-19T00:00:00.000Z,-485133.0
15,-274959,-0.7759,377375,1.0849,38135886,2020-01-20T00:00:00.000Z,-320046.0
16,-274959,-0.7759,377375,1.0849,37769909,2020-01-21T00:00:00.000Z,-365977.0
17,-274959,-0.7759,377375,1.0849,37306878,2020-01-22T00:00:00.000Z,-463031.0
18,-274959,-0.7759,377375,1.0849,36055366,2020-01-23T00:00:00.000Z,-1251512.0
19,-274959,-0.7759,377375,1.0849,34891601,2020-01-24T00:00:00.000Z,-1163765.0
20,-274959,-0.7759,377375,1.0849,34606022,2020-01-25T00:00:00.000Z,-285579.0
21,-274959,-0.7759,377375,1.0849,34492939,2020-01-27T00:00:00.000Z,-113083.0
22,-274959,-0.7759,377375,1.0849,34443489,2020-01-28T00:00:00.000Z,-49450.0
23,-274959,-0.7759,377375,1.0849,34338026,2020-01-29T00:00:00.000Z,-105463.0
24,-274959,-0.7759,377375,1.0849,33897946,2020-01-31T00:00:00.000Z,-440080.0
25,-274959,-0.7759,377375,1.0849,33861458,2020-02-01T00:00:00.000Z,-36488.0
26,-274959,-0.7759,377375,1.0849,33845332,2020-02-02T00:00:00.000Z,-16126.0
27,-274959,-0.7759,377375,1.0849,33843276,2020-02-04T00:00:00.000Z,-2056.0
28,-274959,-0.7759,377375,1.0849,33791641,2020-02-05T00:00:00.000Z,-51635.0
29,-274959,-0.7759,377375,1.0849,33790197,2020-02-06T00:00:00.000Z,-1444.0
30,-274959,-0.7759,377375,1.0849,33783252,2020-02-07T00:00:00.000Z,-6945.0
31,-274959,-0.7759,377375,1.0849,33720454,2020-02-10T00:00:00.000Z,-62798.0
32,-274959,-0.7759,377375,1.0849,33699564,2020-02-11T00:00:00.000Z,-20890.0
33,-274959,-0.7759,377375,1.0849,33683967,2020-02-12T00:00:00.000Z,-15597.0
34,-274959,-0.7759,377375,1.0849,33671380,2020-02-14T00:00:00.000Z,-12587.0
35,-274959,-0.7759,377375,1.0849,33656381,2020-02-15T00:00:00.000Z,-14999.0
36,-274959,-0.7759,377375,1.0849,33725528,2020-02-16T00:00:00.000Z,69147.0
37,-274959,-0.7759,377375,1.0849,33740363,2020-02-17T00:00:00.000Z,14835.0
38,-274959,-0.7759,377375,1.0849,33745204,2020-02-18T00:00:00.000Z,4841.0
39,-274959,-0.7759,377375,1.0849,33750276,2020-02-19T00:00:00.000Z,5072.0
40,-274959,-0.7759,377375,1.0849,33749524,2020-02-20T00:00:00.000Z,-752.0
41,-274959,-0.7759,377375,1.0849,33778312,2020-02-21T00:00:00.000Z,28788.0
42,-274959,-0.7759,377375,1.0849,33755771,2020-02-22T00:00:00.000Z,-22541.0
43,-274959,-0.7759,377375,1.0849,33736247,2020-02-23T00:00:00.000Z,-19524.0
44,-274959,-0.7759,377375,1.0849,33709239,2020-02-24T00:00:00.000Z,-27008.0
45,-274959,-0.7759,377375,1.0849,33680119,2020-02-25T00:00:00.000Z,-29120.0
46,-274959,-0.7759,377375,1.0849,33692521,2020-02-26T00:00:00.000Z,12402.0
47,-274959,-0.7759,377375,1.0849,33653670,2020-02-27T00:00:00.000Z,-38851.0
48,-274959,-0.7759,377375,1.0849,33591956,2020-02-28T00:00:00.000Z,-61714.0
49,-274959,-0.7759,377375,1.0849,33540872,2020-02-29T00:00:00.000Z,-51084.0
50,-274959,-0.7759,377375,1.0849,33503099,2020-03-01T00:00:00.000Z,-37773.0
51,-274959,-0.7759,377375,1.0849,33480443,2020-03-02T00:00:00.000Z,-22656.0
52,-274959,-0.7759,377375,1.0849,33440476,2020-03-03T00:00:00.000Z,-39967.0
53,-274959,-0.7759,377375,1.0849,33402451,2020-03-05T00:00:00.000Z,-38025.0
54,-274959,-0.7759,377375,1.0849,33387697,2020-03-06T00:00:00.000Z,-14754.0
55,-274959,-0.7759,377375,1.0849,33364819,2020-03-07T00:00:00.000Z,-22878.0
56,-274959,-0.7759,377375,1.0849,33340661,2020-03-08T00:00:00.000Z,-24158.0
57,-274959,-0.7759,377375,1.0849,33310947,2020-03-09T00:00:00.000Z,-29714.0
58,-274959,-0.7759,377375,1.0849,33290891,2020-03-10T00:00:00.000Z,-20056.0
59,-274959,-0.7759,377375,1.0849,33262036,2020-03-11T00:00:00.000Z,-28855.0
60,-274959,-0.7759,377375,1.0849,33232658,2020-03-12T00:00:00.000Z,-29378.0
61,-274959,-0.7759,377375,1.0849,33207369,2020-03-13T00:00:00.000Z,-25289.0
62,-274959,-0.7759,377375,1.0849,33129252,2020-03-14T00:00:00.000Z,-78117.0
63,-274959,-0.7759,377375,1.0849,32928167,2020-03-16T00:00:00.000Z,-201085.0
64,-274959,-0.7759,377375,1.0849,32899914,2020-03-17T00:00:00.000Z,-28253.0
65,-274959,-0.7759,377375,1.0849,32865349,2020-03-18T00:00:00.000Z,-34565.0
66,-274959,-0.7759,377375,1.0849,32882593,2020-03-19T00:00:00.000Z,17244.0
67,-274959,-0.7759,377375,1.0849,32890095,2020-03-20T00:00:00.000Z,7502.0
68,-274959,-0.7759,377375,1.0849,32906896,2020-03-21T00:00:00.000Z,16801.0
69,-274959,-0.7759,377375,1.0849,32915945,2020-03-22T00:00:00.000Z,9049.0
70,-274959,-0.7759,377375,1.0849,32943032,2020-03-23T00:00:00.000Z,27087.0
71,-274959,-0.7759,377375,1.0849,32990794,2020-03-24T00:00:00.000Z,47762.0
72,-274959,-0.7759,377375,1.0849,33024897,2020-03-25T00:00:00.000Z,34103.0
73,-274959,-0.7759,377375,1.0849,33087641,2020-03-26T00:00:00.000Z,62744.0
74,-274959,-0.7759,377375,1.0849,33153820,2020-03-27T00:00:00.000Z,66179.0
75,-274959,-0.7759,377375,1.0849,33184832,2020-03-28T00:00:00.000Z,31012.0
76,-274959,-0.7759,377375,1.0849,33212309,2020-03-29T00:00:00.000Z,27477.0
77,-274959,-0.7759,377375,1.0849,33251225,2020-03-30T00:00:00.000Z,38916.0
78,-274959,-0.7759,377375,1.0849,33260902,2020-03-31T00:00:00.000Z,9677.0
79,-274959,-0.7759,377375,1.0849,33275646,2020-04-01T00:00:00.000Z,14744.0
80,-274959,-0.7759,377375,1.0849,33259305,2020-04-02T00:00:00.000Z,-16341.0
81,-274959,-0.7759,377375,1.0849,33218701,2020-04-03T00:00:00.000Z,-40604.0
82,-274959,-0.7759,377375,1.0849,33196242,2020-04-04T00:00:00.000Z,-22459.0
83,-274959,-0.7759,377375,1.0849,33144979,2020-04-05T00:00:00.000Z,-51263.0
84,-274959,-0.7759,377375,1.0849,33168105,2020-04-06T00:00:00.000Z,23126.0
85,-274959,-0.7759,377375,1.0849,33199486,2020-04-07T00:00:00.000Z,31381.0
86,-274959,-0.7759,377375,1.0849,33209658,2020-04-08T00:00:00.000Z,10172.0
87,-274959,-0.7759,377375,1.0849,33180038,2020-04-09T00:00:00.000Z,-29620.0
88,-274959,-0.7759,377375,1.0849,33135028,2020-04-10T00:00:00.000Z,-45010.0
89,-274959,-0.7759,377375,1.0849,33087365,2020-04-11T00:00:00.000Z,-47663.0
90,-274959,-0.7759,377375,1.0849,33069415,2020-04-12T00:00:00.000Z,-17950.0
91,-274959,-0.7759,377375,1.0849,33082388,2020-04-13T00:00:00.000Z,12973.0
92,-274959,-0.7759,377375,1.0849,33117423,2020-04-14T00:00:00.000Z,35035.0
93,-274959,-0.7759,377375,1.0849,33109859,2020-04-15T00:00:00.000Z,-7564.0
94,-274959,-0.7759,377375,1.0849,33081966,2020-04-16T00:00:00.000Z,-27893.0
95,-274959,-0.7759,377375,1.0849,33058521,2020-04-17T00:00:00.000Z,-23445.0
96,-274959,-0.7759,377375,1.0849,33033504,2020-04-18T00:00:00.000Z,-25017.0
97,-274959,-0.7759,377375,1.0849,33017688,2020-04-19T00:00:00.000Z,-15816.0
98,-274959,-0.7759,377375,1.0849,33004847,2020-04-20T00:00:00.000Z,-12841.0
99,-274959,-0.7759,377375,1.0849,33022793,2020-04-21T00:00:00.000Z,17946.0
100,-274959,-0.7759,377375,1.0849,33022778,2020-04-22T00:00:00.000Z,-15.0
101,-274959,-0.7759,377375,1.0849,33009239,2020-04-23T00:00:00.000Z,-13539.0
102,-274959,-0.7759,377375,1.0849,33005498,2020-04-24T00:00:00.000Z,-3741.0
103,-274959,-0.7759,377375,1.0849,33000605,2020-04-25T00:00:00.000Z,-4893.0
104,-274959,-0.7759,377375,1.0849,32967755,2020-04-26T00:00:00.000Z,-32850.0
105,-274959,-0.7759,377375,1.0849,33008377,2020-04-27T00:00:00.000Z,40622.0
106,-274959,-0.7759,377375,1.0849,33040404,2020-04-28T00:00:00.000Z,32027.0
107,-274959,-0.7759,377375,1.0849,33058597,2020-04-29T00:00:00.000Z,18193.0
108,-274959,-0.7759,377375,1.0849,33064615,2020-04-30T00:00:00.000Z,6018.0
109,-274959,-0.7759,377375,1.0849,33080381,2020-05-01T00:00:00.000Z,15766.0
110,-274959,-0.7759,377375,1.0849,33079836,2020-05-02T00:00:00.000Z,-545.0
111,-274959,-0.7759,377375,1.0849,33113056,2020-05-03T00:00:00.000Z,33220.0
112,-274959,-0.7759,377375,1.0849,33113056,2020-05-04T00:00:00.000Z,0.0
113,-274959,-0.7759,377375,1.0849,33125435,2020-05-05T00:00:00.000Z,12379.0
114,-274959,-0.7759,377375,1.0849,33125435,2020-05-06T00:00:00.000Z,0.0
115,-274959,-0.7759,377375,1.0849,33074203,2020-05-07T00:00:00.000Z,-51232.0
116,-274959,-0.7759,377375,1.0849,33035147,2020-05-08T00:00:00.000Z,-39056.0
117,-274959,-0.7759,377375,1.0849,33018336,2020-05-09T00:00:00.000Z,-16811.0
118,-274959,-0.7759,377375,1.0849,33015014,2020-05-10T00:00:00.000Z,-3322.0
119,-274959,-0.7759,377375,1.0849,33025697,2020-05-11T00:00:00.000Z,10683.0
120,-274959,-0.7759,377375,1.0849,32996049,2020-05-12T00:00:00.000Z,-29648.0
121,-274959,-0.7759,377375,1.0849,32971854,2020-05-13T00:00:00.000Z,-24195.0
122,-274959,-0.7759,377375,1.0849,32982668,2020-05-14T00:00:00.000Z,10814.0
123,-274959,-0.7759,377375,1.0849,32980636,2020-05-15T00:00:00.000Z,-2032.0
124,-274959,-0.7759,377375,1.0849,32969162,2020-05-16T00:00:00.000Z,-11474.0
125,-274959,-0.7759,377375,1.0849,32972348,2020-05-17T00:00:00.000Z,3186.0
126,-274959,-0.7759,377375,1.0849,32977946,2020-05-18T00:00:00.000Z,5598.0
127,-274959,-0.7759,377375,1.0849,32943902,2020-05-19T00:00:00.000Z,-34044.0
128,-274959,-0.7759,377375,1.0849,32920716,2020-05-20T00:00:00.000Z,-23186.0
129,-274959,-0.7759,377375,1.0849,32924674,2020-05-21T00:00:00.000Z,3958.0
130,-274959,-0.7759,377375,1.0849,32951652,2020-05-22T00:00:00.000Z,26978.0
131,-274959,-0.7759,377375,1.0849,32988286,2020-05-23T00:00:00.000Z,36634.0
132,-274959,-0.7759,377375,1.0849,32990209,2020-05-24T00:00:00.000Z,1923.0
133,-274959,-0.7759,377375,1.0849,32995784,2020-05-25T00:00:00.000Z,5575.0
134,-274959,-0.7759,377375,1.0849,33000006,2020-05-26T00:00:00.000Z,4222.0
135,-274959,-0.7759,377375,1.0849,33031176,2020-05-27T00:00:00.000Z,31170.0
136,-274959,-0.7759,377375,1.0849,33031176,2020-05-28T00:00:00.000Z,0.0
137,-274959,-0.7759,377375,1.0849,33031176,2020-05-29T00:00:00.000Z,0.0
138,-274959,-0.7759,377375,1.0849,32987462,2020-05-30T00:00:00.000Z,-43714.0
139,-274959,-0.7759,377375,1.0849,32987462,2020-05-31T00:00:00.000Z,0.0
140,-274959,-0.7759,377375,1.0849,32936790,2020-06-01T00:00:00.000Z,-50672.0
